"Quadra","Area","Preco","Quartos","Banheiros"
"SQS 311",148,1800000,4,"3 "
"SQS 415",52,510000,2,"1"
"SQS 414",64,680000,3,"1"
"SQS 206",125,1500000,4,"1"
"SQS 103",106,1270000,3,"1"
"SQS 406",80,740000,3,"1"
"SQS 108",140,2100000,2,"1"
"SQS 316",494,1e+07,5,"5 "
"SQS 109",159,1650000,4,"1"
"SQS 408",101,870000,3,"1"
"SQS 107",178,1430000,4,"1"
"SQS 112",411,5900000,4,"4 "
"SQS 215",132,1620000,3,"1"
"SQS 114",157,2400000,3,"1"
"SEPS 713",26,305000,1,"1"
"SQS 107",160,1650000,3,"1"
"SQS 213",177,2220000,3,"1"
"SQS 105",190,2350000,4,"1"
"SQS 409",54,630000,2,"1"
"SQS 304",140,1560000,3,"1"
"SQS 414",70,685000,3,"1"
"SQS 409",62,630000,2,"1"
"SQS 108",161,1200000,3,"1"
"SQS 213",120,1350000,3,"1"
"SQS 107",178,1400000,4,"1"
"SQS 414",64,650000,3,"1"
"SQS 306",154,1180000,3,"1"
"SQS 409",33,355000,1,"1"
"SEPS 712",27,270000,1,"1"
"SQS 207",175,2390000,3,"1"
"SQS 413",49,440000,2,"1"
"SQS 205",64,8e+05,2,"1"
"SQS 416",90,990000,3,"1"
"SQS 413",89,8e+05,3,"1"
"SQS 404",27,330000,1,"1"
"SEPS 713",26,320000,1,"1"
"SQS 407",85,660000,3,"1"
"SQS 211",120,2150000,3,"1"
"SQS 412",89,695000,3,"1"
"SQS 410",33,340000,1,"1"
"SQS 416",93,950000,3,"1"
"SQS 409",55,560000,2,"1"
"SQS 114",157,3090000,3,"3 "
"SQS 212",132,1860000,3,"1"
"SQS 411",62,585000,3,"1"
"SQS 414",92,820000,3,"1"
"SQS 412",57,465000,2,"1"
"SQS 203",187,2950000,3,"3 "
"SQS 415",77,770000,3,"1"
"SQS 309",217,2790000,4,"1"
"SQS 203",74,950000,2,"1"
"SQS 315",136,1700000,3,"2 "
"SQS 202",142,1990000,3,"1"
"SQS 206",85,1200000,2,"1"
"SQS 103",119,1300000,2,"2 "
"SQS 306",161,1770000,3,"1"
"SQS 310",370,4980000,4,"2 "
"SQS 310",62,680000,2,"1"
"SQS 311",228,2879000,4,"2 "
"SGAS 913",27,380000,1,"1"
"SGAS 910",30,225000,1,"1"
